solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
10_1307_1,(Intercept),323102.3449,34248848.55,0.690252735,323102.3449,0.61439175,34248848.55,0.690252735,323102.3449,0.61439175,TRUE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,C1_Assortment_number_SKUs,-2224.833194,-1293607.012,-0.02607141,0,0,-1293607.012,-0.02607141,0,0,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,C1_Value_Sales,-0.048656285,-841722.6212,-0.016964113,0,0,-841722.6212,-0.016964113,0,0,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,C1_Weighted_anypromo,-148.3957587,-971969.9603,-0.019589123,0,0,-971969.9603,-0.019589123,0,0,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,FB_Assortment_number_SKUs,7345.544301,7112543.636,0.143346504,67099.46827,0.127592264,7112543.636,0.143346504,67099.46827,0.127592264,TRUE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,FB_Price_per_SU_nonpromo,-1318.814184,-3399666.802,-0.068517028,0,0,-3399666.802,-0.068517028,0,0,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,FB_Weighted_anypromo,579.7931021,4333947.64,0.087346563,40886.2985,0.077746896,4333947.64,0.087346563,40886.2985,0.077746896,TRUE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,Google.Search,4164.799409,44981.80493,0.000906565,424.3566503,0.000806931,44981.80493,0.000906565,424.3566503,0.000806931,TRUE,0.009205065,0.038311578,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,47125.03333,444.5757862,0.009205065,0.038311578,0.453952102,0.954520384,1.047646563,201.8161125,1.259697329
10_1307_1,TV.settimanale,19060.744,894550.6691,0.018028812,8439.157256,0.016047388,894550.6691,0.018028812,8439.157256,0.016047388,TRUE,0.741122281,0.761900231,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,3794151.511,52696.54877,0.741122281,0.761900231,0.149025843,0.23577094,4.241404811,7853.147585,0.137010234
10_1307_1,holiday,0.065089604,-83094.96899,-0.0016747,-4373.41942,-0.008316228,-83094.96899,-0.0016747,-4373.41942,-0.008316228,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,lockdown,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,programmatic_behavioural_investments,0,0,0,0,0,0,0,0,0,TRUE,0.100111424,0,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,512517.1915,5758.620129,0.100111424,0,0,0,Inf,0,0
10_1307_1,programmatic_sociodemo_investments,6279.531626,71249.09911,0.001435957,672.1613124,0.001278141,71249.09911,0.001435957,672.1613124,0.001278141,TRUE,0.033326666,0.060683768,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,170614.7881,4374.738157,0.033326666,0.060683768,0.418265231,0.417602131,2.394623795,1829.800866,0.256470977
10_1307_1,reservation_social_display_investments,24172.4354,62955.03649,0.001268798,593.9154385,0.001129353,62955.03649,0.001268798,593.9154385,0.001129353,TRUE,0.023478955,0.053619609,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,120199.75,3004.99375,0.023478955,0.053619609,0.063430756,0.523753473,1.909295216,190.6090267,0.17466232
10_1307_1,reservation_social_video_investments,3457.86904,100368.1257,0.002022823,946.8691102,0.001800509,100368.1257,0.002022823,946.8691102,0.001800509,TRUE,0.092755609,0.085484815,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,474859.3362,5721.196821,0.092755609,0.085484815,0.232441726,0.211363909,4.731176685,1329.844861,0.102447721
10_1307_1,season,0.089167112,-270.1854823,-5.45E-06,-2.548919645,-4.85E-06,-270.1854823,-5.45E-06,-2.548919645,-4.85E-06,FALSE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1307_1,trend,0.180305428,9338725.204,0.188213061,88101.18117,0.167527843,9338725.204,0.188213061,88101.18117,0.167527843,TRUE,,,0,0.172304205,0.114065525,0.047197192,1478818.369,0.20471844,7220864.475,1,1307,1,10,2613,1,,,,,,,,,
10_1352_1,(Intercept),323143.2596,34253185.52,0.690340143,323143.2596,0.614491989,34253185.52,0.690340143,323143.2596,0.614491989,TRUE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,C1_Assortment_number_SKUs,-2218.538675,-1289947.127,-0.025997649,0,0,-1289947.127,-0.025997649,0,0,FALSE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,C1_Value_Sales,-0.048657214,-841738.7026,-0.016964437,0,0,-841738.7026,-0.016964437,0,0,FALSE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,C1_Weighted_anypromo,-148.3537383,-971694.7327,-0.019583577,0,0,-971694.7327,-0.019583577,0,0,FALSE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,FB_Assortment_number_SKUs,7348.035787,7114956.092,0.143395125,67122.22728,0.127640202,7114956.092,0.143395125,67122.22728,0.127640202,TRUE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,FB_Price_per_SU_nonpromo,-1319.538544,-3401534.072,-0.068554661,0,0,-3401534.072,-0.068554661,0,0,FALSE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,FB_Weighted_anypromo,579.8252487,4334187.936,0.087351406,40888.56543,0.077754046,4334187.936,0.087351406,40888.56543,0.077754046,TRUE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,Google.Search,4162.872956,44960.99833,0.000906146,424.1603616,0.000806587,44960.99833,0.000906146,424.1603616,0.000806587,TRUE,0.009205065,0.038115669,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,47125.03333,444.5757862,0.009205065,0.038115669,0.453742123,0.954078865,1.048131382,201.7227613,1.259114649
10_1352_1,TV.settimanale,19062.60045,894637.7953,0.018030568,8439.979201,0.016049537,894637.7953,0.018030568,8439.979201,0.016049537,TRUE,0.741122281,0.758428847,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,3794151.511,52696.54877,0.741122281,0.758428847,0.149040357,0.235793904,4.240991752,7853.912456,0.137023579
10_1352_1,holiday,0.065086817,-83091.41128,-0.001674628,-4373.232172,-0.008316176,-83091.41128,-0.001674628,-4373.232172,-0.008316176,FALSE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,lockdown,0,0,0,0,0,0,0,0,0,TRUE,,,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,,,,,,,,,
10_1352_1,programmatic_behavioural_investments,0,0,0,0,0,0,0,0,0,TRUE,0.100111424,0,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,512517.1915,5758.620129,0.100111424,0,0,0,Inf,0,0
10_1352_1,programmatic_sociodemo_investments,4435.704594,76073.54823,0.001533189,717.6749833,0.001364737,76073.54823,0.001533189,717.6749833,0.001364737,TRUE,0.033326666,0.064491321,0,0.172302137,0.114323776,0.047220062,1478818.369,0.20471844,7220864.475,1,1352,1,10,2703,2,170614.7881,4374.738157,0.033326666,0.064491321,0.44062643,0.445878983,2.242761013,1927.625255,0.228322745
