ds,dep_var,trend,season,holiday,C1_Value_Sales,C1_Assortment_number_SKUs,C1_Weighted_anypromo,FB_Price_per_SU_nonpromo,FB_Assortment_number_SKUs,FB_Weighted_anypromo,lockdown,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,TV.settimanale,intercept,depVarHat,solID
2017-07-09,242669.44,538020.4106614,293.27561123662,0,-51873.7106767672,-1819.4770423906,0,-737460.275822815,337911.04157005,226979.44352549,0,0,0,0,0,0,1371.01000482483,0,313421.717831029,1_531_1
2017-07-16,407920.34,540115.93087765,14070.4994673048,0,-41164.8659439831,-1778.02060345005,0,-733895.447224902,327619.334720201,210381.440404373,0,0,0,0,0,0,2754.3863585544,0,318103.258055747,1_531_1
2017-07-23,417560.06,542211.4510939,9947.91488895047,0,-36770.3265618065,-1768.80806146326,0,-731577.005758668,319042.912345327,224073.042135084,0,0,0,0,0,0,2087.6692389879,0,327246.849320311,1_531_1
2017-08-06,341967.06,546402.4915264,-63030.2753994932,0,-54068.1715257198,-1833.29585537078,0,-781257.973472136,433109.329931156,230200.996873893,0,0,0,0,0,0,2018.77344823466,0,311541.875526963,1_531_1
2017-08-13,397935.97,548498.01174265,-80411.0648803155,47623.6510745949,-43146.5534724608,-1750.38297748969,0,-757432.198594278,412525.916231457,257549.183451093,0,0,0,0,0,0,1740.96358243607,0,385197.526157686,1_531_1
2017-08-20,311344.44,550593.531942499,-50494.4997581661,0,-42858.3225135064,-1759.59551947648,0,-774129.105070262,401805.388262864,246483.848037014,0,0,0,0,0,0,1588.07107559005,0,331229.316456556,1_531_1
2017-09-03,347004.72,554784.572342196,85439.3498154515,0,-61242.4907020952,-1930.02754623205,0,-787244.483286715,396659.53483794,210836.659899256,0,0,0,0,0,0,3107.48468245688,0,400410.600042259,1_531_1
2017-09-10,356481.91,556880.092542045,120407.734111487,0,-46044.1140867666,-1810.26450040381,0,-792827.445172938,389798.39693804,223302.670682205,0,0,0,0,0,0,3445.90783954448,0,453152.978353214,1_531_1
2017-09-17,330868.41,558975.612741894,112992.888408749,0,-58855.1583789558,-1801.05195841702,0,-800276.197224036,389369.575819296,241406.399824858,0,0,0,0,0,0,3347.96175220144,0,445160.030985591,1_531_1
2017-10-01,474545.88,563166.653141592,46577.3044444873,0,-35746.5388903078,-1672.07637060199,0,-814157.237040887,375647.300019498,257514.166566871,0,0,0,0,0,0,2977.15985065689,0,394306.731721308,1_531_1
2017-10-08,365555.88,565262.173243551,24150.9230902624,0,-32552.1020114792,-1662.8638286152,0,-820195.44741864,387654.291344322,252996.988502263,0,0,0,0,0,0,1749.67265442026,0,377403.635576083,1_531_1
2017-10-15,356494.56,567357.693345509,11902.0035206534,0,-37359.3153510491,-1616.80111868126,0,-810255.321776438,376076.121138241,269454.924086493,0,0,0,0,0,0,1134.38826388496,0,376693.692108613,1_531_1
2017-10-29,372853.31,571548.733549426,-485.837642354635,-13155.8682054151,-34828.4568406896,-1547.70705378036,0,-769085.919287262,358923.276388492,261155.922525934,0,0,0,0,0,0,981.010767090792,0,373505.154201442,1_531_1
2017-11-05,324117.53,573644.253651385,-1363.52402715264,0,-33559.7917711399,-1639.83247364823,0,-786898.739192746,376504.942256985,239935.690687544,0,0,0,0,0,0,961.30011969203,0,367584.299250919,1_531_1
2017-11-12,300384.38,575739.773632931,471.366543454796,0,-30298.3661245928,-1524.67569881339,0,-753618.923070833,378649.047850704,228240.051357474,0,0,0,0,0,0,853.354986731885,0,398511.629477055,1_531_1
2017-11-26,372141.5,579930.813596023,-5337.29348940693,0,-26214.690758479,-1497.03807285302,0,-714485.888060069,363211.48757593,243927.615488825,0,0,0,0,0,0,897.083006150432,0,440432.08928612,1_531_1
2017-12-03,632959.06,582026.333577569,-13479.7558392225,172244.136012089,-26358.4427822527,-1455.58163391248,0,-754662.785380568,379935.511206935,269489.940970715,0,0,0,0,0,0,885.608200837107,0,608624.964332188,1_531_1
2017-12-10,596071.25,584121.853559115,-15429.9519497965,0,-26607.3922956612,-1662.8638286152,0,-758980.73051474,372645.552188291,244067.683025712,0,0,0,0,0,0,798.245619582577,0,398952.395803888,1_531_1
2017-12-24,293160.75,588312.893522207,17848.2422912421,-63762.4566628503,-45334.0416178202,-1879.35856530472,0,-763947.39419008,364497.950932161,238850.167276669,0,0,0,0,0,0,582.64573551811,0,335168.648721742,1_531_1
2017-12-31,246027.28,590408.413522435,36487.4141282584,-131279.678303244,-47168.2719915663,-1865.53975232454,0,-750699.952040016,356779.170794774,262486.564126362,0,0,0,0,0,0,461.487369477184,0,315609.607854156,1_531_1
2018-01-07,346674.91,592503.933522663,35234.8285449566,0,-55821.2912897536,-1906.99619126508,0,-781314.673018083,368786.162119598,247639.405216333,0,0,0,0,0,0,236.037295475338,0,405357.406199924,1_531_1
2018-01-21,367249.44,596694.97352312,-28768.123033186,0,-40749.0161600545,-1819.4770423906,0,-771842.431819346,351633.317369849,254677.798944908,0,0,0,0,0,0,215.483345818957,0,360042.525128718,1_531_1
2018-01-28,340008.06,598790.493523348,-51191.3266080567,0,-57336.7674828446,-1764.20179046987,0,-762597.959110235,340483.968282513,272641.460550674,0,0,0,0,0,0,330.003665639524,0,339355.671030567,1_531_1
2018-02-04,275541.44,600886.01351599,-40614.8007982072,0,-50057.6036864494,-1736.56416450951,0,-763400.901056591,347773.927301156,255203.052208234,0,0,0,0,0,0,321.495213909307,0,348374.618533533,1_531_1
2018-02-18,557084.75,605077.053501276,24087.0545471145,0,-27889.1276557518,-1589.1634927209,0,-726150.720651151,363211.48757593,275442.811288415,0,0,0,0,0,0,586.813219445161,0,512776.208332556,1_531_1
2018-02-25,450649.09,607172.573493918,17762.9090812771,0,-73373.2447208472,-1718.13908053593,0,-736827.328188393,365784.414288392,286438.11293405,0,0,0,0,0,0,738.914725621719,0,465978.212533482,1_531_1
2018-03-04,291850.09,609268.093486561,-24997.5844357749,0,-92144.6026232314,-1782.62687444345,0,-721872.620072446,345629.821707437,273271.764466666,0,0,0,0,0,0,797.930804150051,0,388170.176458918,1_531_1
2018-03-11,278316.31,611363.613479204,-73389.7869809136,0,-61416.7941771388,-1911.60246225848,0,-751933.538077621,348202.748419899,242842.092077951,0,0,0,0,0,0,1191.10293699032,0,314947.835216113,1_531_1
2018-03-18,369707.91,613459.1334554,-90089.5825626417,0,-50555.9826159429,-1754.98924848308,0,-732189.251908104,348631.569538643,262626.631663249,0,0,0,0,0,0,1338.63438292543,0,351466.162705047,1_531_1
2018-03-25,299064.38,615554.653431597,-62799.825603801,0,-44062.172492166,-1768.80806146326,0,-734755.774604794,338768.683807538,281640.799795668,0,0,0,0,0,0,1503.91164957462,0,394081.467922153,1_531_1
2018-04-08,627099.06,619745.693383991,23387.4086232423,0,-57201.7666255238,-1888.57110729151,0,-775575.264290125,355492.707438543,273762.000845771,0,0,0,0,0,0,1082.60866282312,0,438804.816931429,1_531_1
2018-04-15,506155.69,621841.213360188,28409.2098702861,0,-49803.3611288154,-1879.35856530472,0,-781931.098006354,341770.431638744,230446.115063445,0,0,0,0,0,0,1027.75997449104,0,389880.91220668,1_531_1
2018-04-22,270416.47,623936.733342263,10080.5743602448,-109436.181521038,-49784.1579643651,-1925.42127523866,0,-797799.405918054,345201.000588694,206809.718213753,0,0,0,0,0,0,1030.61151206423,0,228113.471338323,1_531_1
2018-05-06,386205.94,628127.773306415,-18916.4649261506,0,-54510.0701446305,-1870.14602331793,0,-780548.463028718,348631.569538643,266723.607117195,0,0,0,0,0,0,732.412433567548,0,388370.218273004,1_531_1
2018-05-13,320725.94,630223.29328849,-17053.1835061309,0,-57630.9478235085,-1824.08331338399,0,-770985.055291435,345629.821707437,257899.35229331,0,0,0,0,0,0,1059.14806454745,0,387318.345419327,1_531_1
2018-09-02,637660.13,663751.613001702,74919.0637075156,0,-64531.6024986382,-1851.72093934435,0,-782349.740652456,373503.194425779,286753.264892046,0,0,0,0,0,0,1021.25281908149,0,551215.324755685,1_531_1
2018-09-09,635109.88,665847.132983777,117430.618660182,0,-64974.2068567789,-1870.14602331793,0,-791294.558861101,360638.560863467,286508.146702493,0,0,0,0,0,0,2124.89280902372,0,574410.440277747,1_531_1
2018-09-16,436472.44,667942.652691383,116882.932750724,0,-70329.2432163011,-1879.35856530472,0,-811045.959389166,360209.739744724,249915.502690748,0,0,0,0,0,0,2730.57647893306,0,514426.843185739,1_531_1
2018-09-23,670615.75,670038.172398989,86916.5505723511,0,-52092.2569441442,-1906.99619126508,0,-804246.505298589,374789.65778201,273656.950193105,0,0,0,0,0,0,2862.22365115637,0,550017.796163614,1_531_1
2018-09-30,674815.19,672133.692106595,51929.994909914,0,-55827.8476072009,-1934.63381722545,0,-793759.012276853,379935.511206935,282025.985522107,0,0,0,0,0,0,3031.3305566921,0,537535.020600963,1_531_1
2018-10-07,521080.88,674229.211814201,27250.4685376327,0,-65154.3256230783,-1953.05890119902,0,-801488.283717508,386367.82798809,287453.602576481,0,0,0,0,0,0,2367.2014364724,0,509072.644111092,1_531_1
2018-10-14,377173.09,676324.731561852,13614.3295490672,0,-66192.9832201546,-1916.20873325187,0,-786069.260133184,366642.056525879,265427.98240099,0,0,0,0,0,0,1987.22861866116,0,469817.876569859,1_531_1
2018-10-21,472111.34,678420.251309503,5461.45369349834,0,-77922.4750848637,-1939.24008821884,0,-786434.47464851,370930.267713317,253312.140460259,0,0,0,0,0,0,1903.61962892385,0,443731.542983908,1_531_1
2018-10-28,495217.28,680515.771057155,110.758017671175,-13155.8682054151,-77625.6552794793,-1953.05890119902,0,-756675.592252116,375647.300019498,278769.415289483,0,0,0,0,0,0,1826.86670145872,0,487459.936447055,1_531_1
2018-11-04,496649.06,682611.290804806,-1498.37280274868,0,-59136.4942656324,-1911.60246225848,0,-753519.766949404,374789.65778201,292671.118325524,0,0,0,0,0,0,1647.41106577063,0,535653.241498067,1_531_1
2018-11-11,422558.63,684706.810552457,132.859740594787,0,-43623.174461491,-1796.44568742363,0,-778635.493428889,354206.244082312,273236.747582444,0,0,0,0,0,0,1350.96336216242,0,489578.511742166,1_531_1
