solID,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,TV.settimanale_alphas,TV.settimanale_gammas,TV.settimanale_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_143_1,2.95246956366481,0.930243184614056,0.251428272041788,1.15873288450209,0.586786505970077,0.121875574177915,1.50020676495946,0.564592864090873,0.130851290506119,1.77623071322268,0.55825460252292,0.297731079881487,1.18792291200678,0.956339255591402,0.227479351240838,1.20214443026462,0.383303452968818,0.694545234285314,461269.589447759,0,0.184347654584408,0.0730379932572558,0.212632592652051,0.063786484842502,7220864.474564,0,0.0469751358032227,54.1054961681366,1,143,1,1,285,TRUE,TRUE,3
1_188_1,2.95246956366481,0.930243184614056,0.251428272041788,1.15873288450209,0.50291023775267,0.153120988962642,1.49141551680425,0.552008914607866,0.130851290506119,1.77623071322268,0.55825460252292,0.297731079881487,1.18792291200678,0.956339255591402,0.227479351240838,1.20214443026462,0.383303452968818,0.694545234285314,461269.589447759,0,0.184343607600431,0.0724348858538534,0.212667162425262,0.063786484842502,7220864.474564,0,0.0522699356079102,68.2115430831909,1,188,1,1,375,TRUE,TRUE,2
1_300_1,2.75098639720553,0.970112487688088,0.169124776117987,2.33079012610862,0.550725716182406,0.17539366599113,2.14359416610262,0.451208121661186,0.0147999589582397,1.95577530749855,0.609625129387042,0.21136531580787,1.49094009049899,0.821732431059164,0.272494352769147,1.32636469429266,0.443419490731187,0.718407533711755,76207.5582922052,0,0.142301530983351,0.171106038859952,0.526328444926499,0.0104548453184231,7220864.474564,0,0.0569870471954346,116.958966016769,1,300,0,1,599,TRUE,TRUE,1
1_394_1,2.7927338021613,0.98297338337739,0.0650686601474915,2.5178836942753,0.305695977387555,0.229552000060848,2.45199317498811,0.340087598110923,0.0144007465161175,2.18791677351935,0.637630476188362,0.299106031952134,1.08787926974804,0.984311471097121,0.0635895562594181,1.04049219595959,0.567579038177936,0.382640414665977,609072.18263554,0,0.18949271653303,0.0632758883081324,0.168069121907735,0.0842573544241111,7220864.474564,0,0.0490131378173828,149.510219097137,1,394,1,1,787,TRUE,TRUE,3
1_409_1,2.7927338021613,0.904974453918886,0.0531494480575956,1.94639777565096,0.305695977387555,0.229552000060848,2.45199317498811,0.340087598110923,0.0144007465161175,2.18791677351935,0.637630476188362,0.299106031952134,1.08787926974804,0.984311471097121,0.0635895562594181,1.04049219595959,0.567579038177936,0.382640414665977,609072.18263554,0,0.189487800110163,0.0598560300040503,0.168112290542472,0.0842573544241111,7220864.474564,0,0.197885990142822,159.24017906189,1,409,1,1,817,TRUE,TRUE,2
1_419_1,2.46942048782212,0.909868675711978,0.0112097707668713,2.63902700964361,0.674941581379965,0.145901524660316,1.8303322610002,0.539965949059504,0.108641235438785,2.80064740540015,0.574229520803016,0.389431555323118,1.49766991398745,0.793666219121604,0.0975047119924302,0.97455015439895,0.464940747855203,0.75605111315071,120703.822263468,0,0.144037638954063,0.170990651745735,0.514700160319088,0.0166176412273373,7220864.474564,0,0.115934133529663,164.424235105515,1,419,0,1,837,TRUE,TRUE,1
1_445_2,2.90465021531263,0.923320510043719,0.300687119940992,2.49321582579217,0.604870820199601,0.163841807705051,1.86172509163803,0.368219208325345,0.0413332339882727,2.52232999596992,0.427467386368285,0.00245296435288749,1.1985415076295,0.846059902020098,0.228048018465011,1.53923215619131,0.326676442813242,0.552110549628618,505320.422570761,0,0.18582023792467,0.0721873812897391,0.20000324758156,0.0698875879447767,7220864.474564,0,0.0649800300598145,174.305250167847,2,445,1,1,890,FALSE,TRUE,2
1_454_1,2.7927338021613,0.904974453918886,0.0531494480575956,1.94639777565096,0.305695977387555,0.229552000060848,2.45199317498811,0.340087598110923,0.0746681493116546,1.66897783180606,0.652053108051066,0.37007856646284,1.08787926974804,0.984311471097121,0.0635895562594181,1.04049219595959,0.567579038177936,0.382640414665977,609072.182635539,0,0.189524706865094,0.0627070547481946,0.167788203548338,0.084257354424111,7220864.474564,0,0.0529499053955078,177.024491071701,1,454,1,1,907,TRUE,TRUE,3
1_469_1,2.7927338021613,0.904974453918886,0.0531494480575956,1.94639777565096,0.305695977387555,0.229552000060848,2.45199317498811,0.340087598110923,0.0144007465161175,2.18791677351935,0.637630476188362,0.299106031952134,1.08787926974804,0.984311471097121,0.0405894842095389,1.17779097208104,0.561137102069942,0.453626233568121,609072.182635539,0,0.189787357977685,0.0567319882740653,0.165479978754107,0.084257354424111,7220864.474564,0,0.126927852630615,187.070770978928,1,469,1,1,937,TRUE,TRUE,1
1_478_1,2.70774197587271,0.623245737369786,0.10398909433572,2.86974300709994,0.388076311015391,0.381932407655985,2.27862573857974,0.339245494487022,0.22743620144432,1.83440988033765,0.582837583533195,0.312531361018691,1.66352582021709,0.911808600056434,0.105050994534546,0.61050579877969,0.756175734426684,0.309215777819118,13580.3542366696,0,0.13808875116351,0.235406068201522,0.553959017150553,0.00178088839499568,7220864.474564,0,0.0534119606018066,191.505685091019,1,478,0,1,955,TRUE,TRUE,2
