solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_534_2,(Intercept),333092.337774224,34974695.4662935,0.709998395511324,333092.337774224,0.64479567796406,34974695.4662935,0.709998395511324,333092.337774224,0.64479567796406,TRUE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,C1_Assortment_number_SKUs,-1905.65401145669,-1095312.75616496,-0.0222352271861718,0,0,-1095312.75616496,-0.0222352271861718,0,0,FALSE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,C1_Value_Sales,-0.0403214578787936,-688694.454895169,-0.0139807352559898,0,0,-688694.454895169,-0.0139807352559898,0,0,FALSE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,C1_Weighted_anypromo,-119.880690679096,-775979.319117443,-0.0157526481411202,0,0,-775979.319117443,-0.0157526481411202,0,0,FALSE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,DIG_costo,4879.76686384458,75553.5830169321,0.00153376382558788,719.557933494592,0.00139291059248727,75553.5830169321,0.00153376382558788,719.557933494592,0.00139291059248727,TRUE,0.211828282495975,0.189702296080023,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,538605.087197232,21544.2034878893,0.211828282495975,0.189702296080023,0.0860419896593285,0.140276400674369,7.12878285436875,1853.70613372344,0.0522661846998744
1_534_2,FB_Assortment_number_SKUs,6052.52476386174,5804915.97577216,0.117841798875656,55284.9140549729,0.107019794803637,5804915.97577216,0.117841798875656,55284.9140549729,0.107019794803637,TRUE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,FB_Price_per_SU_nonpromo,-1073.49071937127,-2739927.52088779,-0.0556214748323529,0,0,-2739927.52088779,-0.0556214748323529,0,0,FALSE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,FB_Weighted_anypromo,491.099796743512,3643415.37106247,0.0739625901854864,34699.1940101188,0.0671702341640967,3643415.37106247,0.0739625901854864,34699.1940101188,0.0671702341640967,TRUE,,,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,,,,,,,,,
1_534_2,GEN_costo,11563.9692946703,92080.8126711553,0.00186927229479112,876.96012067767,0.0016976076343824,92080.8126711553,0.00186927229479112,876.96012067767,0.0016976076343824,TRUE,0.270907125164986,0.231199380507447,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,688821.879932919,27552.8751973168,0.270907125164986,0.231199380507447,0.121645507956057,0.133678698882391,7.48062337799822,3351.68349902745,0.123315358838681
1_534_2,Google.Search,4195.51466294692,45686.4187165917,0.000927450076490294,435.108749681826,0.000842277679258277,45686.4187165917,0.000927450076490294,435.108749681826,0.000842277679258277,TRUE,0.0183781651429684,0.114710887083522,0,0.177213001770369,0.261512342437884,-0.017662013034569,1828719.91611701,0.253527007781148,7210993.61728321,2,534,1,1,1068,3,46729.2333333333,445.040317460317,0.0183781651429684,0.114710887083522,0.567922126578779,0.97768389202316,1.02282548394109,252.748243505359,1.4909717173451
