solID,DIG_costo_alphas,DIG_costo_gammas,DIG_costo_thetas,GEN_costo_alphas,GEN_costo_gammas,GEN_costo_thetas,Google.Search_alphas,Google.Search_gammas,Google.Search_thetas,programmatic_behavioural_investments_alphas,programmatic_behavioural_investments_gammas,programmatic_behavioural_investments_thetas,programmatic_sociodemo_investments_alphas,programmatic_sociodemo_investments_gammas,programmatic_sociodemo_investments_thetas,reservation_social_display_investments_alphas,reservation_social_display_investments_gammas,reservation_social_display_investments_thetas,reservation_social_video_investments_alphas,reservation_social_video_investments_gammas,reservation_social_video_investments_thetas,lambda,mape,nrmse,decomp.rssd,rsq_train,lambda_hp,lambda_max,pos,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_534_2,0.979579065454845,0.495400473579625,0.488939114239014,1.42747043551228,0.942384731550358,0.133249481672356,2.78905132212086,0.974578587849353,0.0325041291710148,1.49312170785156,0.447786406693262,0.386924946860353,2.54136855845482,0.374934970546326,0.158280909636306,2.31019389279658,0.968516062248931,0.208325577927868,0.547813909322083,0.870575305028741,0.105897085566748,1828719.91611701,0,0.177213001770369,0.261512342437884,-0.017662013034569,0.253527007781148,7210993.61728321,0,0.0259990692138672,74.7929430007935,2,534,1,1,1068,TRUE,TRUE,3
1_572_2,1.7417525545838,0.938658761724629,0.332821769616109,2.68241439793635,0.815526325970276,0.222010692197098,2.83541783430618,0.970615838054203,0.0915842656180618,2.28840774009388,0.736489599593924,0.226718604032389,1.03835802347937,0.455603520378507,0.195478556806769,1.93214785779339,0.687832783268614,0.288574523422344,2.63946729049019,0.403464997445202,0.322251920211468,224295.438581484,0,0.115422647882584,0.47806736801547,0.564136576673543,0.0310077516021829,7210993.61728321,0,0.0279231071472168,80.236438035965,2,572,0,1,1144,TRUE,TRUE,3
1_579_2,0.979579065454845,0.495400473579625,0.488939114239014,1.42747043551228,0.942384731550358,0.133249481672356,2.78905132212086,0.974578587849353,0.0325041291710148,1.49312170785156,0.320747795789728,0.16204172520138,2.54136855845482,0.374934970546326,0.158280909636306,2.31019389279658,0.968516062248931,0.208325577927868,0.547813909322083,0.870575305028741,0.105897085566748,1828719.91611701,0,0.177213001770369,0.261512342437884,-0.017662013034569,0.253527007781148,7210993.61728321,0,0.0300788879394531,81.2382879257202,2,579,1,1,1158,TRUE,TRUE,3
1_629_1,2.29067571675931,0.567452996940562,0.377933206367512,2.71121039525609,0.694150912073799,0.227530384990342,2.34733229400525,0.911675521036248,0.00190893213170185,2.96417314341623,0.464205938951594,0.166493581481459,2.43488785941257,0.313545666214407,0.372999868554417,2.32887345478419,0.821913260377975,0.0121464089928126,2.2910765878224,0.46633671352557,0.291747696670622,72795.770652505,0,0.108155842491467,0.657874461451616,0.617291305685125,0.00999610917779203,7210993.61728321,0,0.0282230377197266,88.9127190113068,1,629,0,1,1257,TRUE,TRUE,3
1_654_1,0.543298489063575,0.565124631639879,0.337287682350667,2.89355212198164,0.631068243222489,0.178467957284562,2.8744655594152,0.899338075999914,0.0469941760518732,2.48028335675232,0.692589082706854,0.167060286615639,1.51244934908353,0.41664791340911,0.368235628945106,2.1051773338228,0.996787234674654,0.0176941868612478,2.43472838914606,0.431864889948365,0.2584300004007,99566.6133369697,0,0.10912169576224,0.605301079119159,0.61042545512923,0.0137089844703589,7210993.61728321,0,0.0289969444274902,92.8381869792938,1,654,0,1,1307,TRUE,TRUE,3
1_703_2,1.93737955484851,0.92081346937084,0.39765939606765,2.93560819918232,0.576309513834012,0.159667583450287,2.75547425284394,0.957936859593891,0.0726814660229814,2.04601212607864,0.757455180176079,0.229925737851384,1.14485121340893,0.460186236250242,0.308192533654905,2.24631761747777,0.676526244996199,0.158800157859292,0.89349706038344,0.870075540014248,0.144437846477251,342620.167648569,0,0.12035707592697,0.439334365558596,0.526072821244931,0.0474183281473805,7210993.61728321,0,0.0280289649963379,100.276995897293,2,703,0,1,1406,TRUE,TRUE,3
1_715_1,1.44417785852248,0.669520247241729,0.31594553503909,2.58524080716079,0.735944974519162,0.154862874233532,2.59471295371935,0.983936546281294,0.0771814889774429,1.92130537282046,0.551985678520305,0.126512959720955,1.6319140504401,0.322037019940474,0.380525513906933,1.91831603514735,0.723549319063615,0.343916287840391,1.49698470979689,0.390544791972225,0.172376808686783,64058.9299969344,0,0.108328795229572,0.642174824050929,0.616066342929468,0.0087843878962656,7210993.61728321,0,0.0342772006988525,102.042427062988,1,715,0,1,1429,TRUE,TRUE,3
1_736_2,2.98390306656471,0.701891800280133,0.310647768253145,2.34029450296964,0.85120885721149,0.17480053495082,2.7482598880336,0.968870483130875,0.0478779553544731,0.647712124328043,0.600660105834891,0.394245987968082,1.16743971228766,0.375047427802762,0.311494742128092,2.11340359724282,0.848272580322444,0.304115450427971,1.57843239424896,0.444703431157705,0.322931422354883,128350.963802631,0,0.110742564979124,0.554510304529853,0.598766195494891,0.0177011151969183,7210993.61728321,0,0.0409910678863525,105.275001049042,2,736,0,1,1472,TRUE,TRUE,2
1_815_2,2.714523430829,0.832173776371563,0.426400568194082,2.34665511250977,0.782192583067768,0.162870496613236,2.86475989055897,0.962353804588566,0.0459946732895695,0.981052221833716,0.816945070532867,0.231678896734103,1.13175856752454,0.450311664393557,0.214512071102923,2.26508833630301,0.636304734570279,0.0969866971348124,2.26881487222062,0.434079377213454,0.0434290914076388,277740.170197972,0,0.117670565890602,0.447275471600955,0.546993907047857,0.03842005557317,7210993.61728321,0,0.0409989356994629,117.929214954376,2,815,0,1,1630,TRUE,TRUE,3
1_846_1,2.76241151960234,0.301787821733812,0.474632904360949,1.92395003144499,0.774296496189042,0.189412264067087,2.74960042060886,0.938160313050219,0.0339858259596666,2.66811570221637,0.495460088989002,0.214382615509425,0.801158127258523,0.504946207529027,0.0570438960939141,2.20434273897738,0.451555637209382,0.221603617671058,0.661112615424386,0.886313783937426,0.0404242395611298,518477.733899664,0,0.154676139404297,0.307729438293117,0.224719166849019,0.0718081921662497,7210993.61728321,0,0.0276908874511719,122.743989944458,1,846,1,1,1691,TRUE,TRUE,2
