solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_636_2,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,C1_Assortment_number_SKUs,-4914.95053340529,-2824966.11808536,-0.0573263919469449,0,0,-2824966.11808536,-0.0573263919469449,0,0,FALSE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,C1_Value_Sales,-0.181998568081707,-3108553.39143513,-0.0630811636870863,0,0,-3108553.39143513,-0.0630811636870863,0,0,FALSE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,C1_Weighted_anypromo,-691.927487024096,-4478798.18858288,-0.0908872282631076,0,0,-4478798.18858288,-0.0908872282631076,0,0,FALSE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,FB_Assortment_number_SKUs,31238.5157585535,29960548.078871,0.607982556363797,285338.553132105,0.515178334195403,29960548.078871,0.607982556363797,285338.553132105,0.515178334195403,TRUE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,FB_Price_per_SU_nonpromo,-513.871466121671,-1311581.50398389,-0.0266156237720484,0,0,-1311581.50398389,-0.0266156237720484,0,0,FALSE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,FB_Weighted_anypromo,2532.84595208444,18790905.5054598,0.381319551816105,178961.004813902,0.323113828586902,18790905.5054598,0.381319551816105,178961.004813902,0.323113828586902,TRUE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
1_636_2,Google.Search,30510.238637612,361996.004900165,0.00734590221358117,3447.58099904919,0.00622460237706324,361996.004900165,0.00734590221358117,3447.58099904919,0.00622460237706324,TRUE,0.0109741171606309,0.119257707601358,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,46729.2333333333,445.040317460317,0.0109741171606309,0.119257707601358,5.08207342563752,7.74667117514943,0.129087704562432,2261.72757070237,12.3868718793824
1_636_2,dieci_costo,52077.8814537954,975070.523074575,0.0197868833271425,9286.38593404358,0.0167665560215456,975070.523074575,0.0197868833271425,9286.38593404358,0.0167665560215456,TRUE,0.256521561449433,0.321231930069506,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,1092302.52643962,26007.2030104672,0.256521561449433,0.321231930069506,0.713058929670812,0.892674418920218,1.12022925582387,18544.6683423753,0.303186071691016
1_636_2,holiday,0.48772741903662,-628954.544926158,-0.0127632308679462,-33102.8707855873,-0.0597671840738219,-628954.544926158,-0.0127632308679462,-33102.8707855873,-0.0597671840738219,FALSE,,,0,0.114222302408617,0.22140942519542,0.573155018715824,334786.579710822,0.0463318799003446,7210993.61728321,2,636,0,1,1272,3,,,,,,,,,
