solID,mape,decomp.rssd,nrmse,Google.Search,programmatic_sociodemo_investments,programmatic_behavioural_investments,reservation_social_video_investments,reservation_social_display_investments,dieci_costo,venti_costo,cluster,top_sol
1_636_2,0,0.22140942519542,0.114222302408617,0.362317297478246,0,0,0,0.526670107719562,0.505021108373018,0.722900683586449,1,FALSE
1_651_2,0,0.216888338871483,0.114344771348132,0.349082064196614,0.383133900348499,0,0,0.34819742654683,0.482299771074598,0.742852403512521,1,TRUE
1_682_2,0,0.221504185191732,0.105155133817124,0.363351725813442,0,0,0,1,0.534102133298983,0.962406543382841,1,FALSE
1_749_1,0,0.223640820004903,0.106230570285268,0.451736207885198,0,0,0,0.606661084230774,0.580382517277912,0.89024374930866,1,FALSE
1_858_1,0,0.221434962572724,0.1124692439981,0.326520857585947,0.106163902323057,0,0,0.347305723251142,0.450409862092597,0.604502837465688,1,FALSE
1_899_1,0,0.198485162696199,0.138460563827768,0.149793543844199,0.789196680263354,0,0,0.415343900967714,0.307352380446265,0.42210263252126,3,FALSE
2_470_2,0,0.167968580293312,0.147053679732218,0.159349386594468,0.847684621123164,0,0.683808042527339,0.276182607885247,0.194142752493253,0.321317357033626,2,FALSE
2_498_1,0,0.151088260416501,0.150808583729905,0.0810666493881074,0.935564233496384,0,0.778675367433983,0.165438357433448,0.151740324040868,0.202672400755918,2,FALSE
2_513_1,0,0.149793622926762,0.150810236032747,0.070532926503089,1,0,0.787640074228541,0.166797853463913,0.151222062654091,0.202919792719853,2,FALSE
2_528_1,0,0.149793622926762,0.150810236032747,0.0705329265030891,1,0,0.787640074228541,0.166797853463913,0.151222062654091,0.202919792719853,2,FALSE
2_543_1,0,0.154669370671299,0.150810038678144,0.0698140029906992,0.999805318132413,0,0.658254506649676,0.168052645053907,0.151573154554705,0.203059263792489,2,FALSE
2_642_1,0,0.246219570575937,0.10247206273672,0.703542057931337,0,0,0,0.6731263357769,0.822668087950693,0.899829272868568,1,FALSE
2_673_1,0,0.204721815963516,0.136711795481925,0.211786552981188,0.711974173582923,0,0,0.380575221095007,0.282855122144771,0.468345494791773,3,FALSE
2_694_2,0,0.247827839160303,0.102405176187625,0.633745007704769,0,0,0,0.458448207613098,0.856743506073875,0.87490269661517,1,FALSE
2_700_2,0,0.272092859025384,0.102376309650007,0.728659765227207,0,0,0,0.569016184076116,1,0.829837773478418,1,FALSE
2_731_1,0,0.149791533622543,0.153340739189907,0.0809751753294202,0.71444738347206,0,0.917407949031626,0.25348933770093,0.119632148388172,0.213864085947867,2,FALSE
2_731_2,0,0.23685989940425,0.102725432685724,0.647731512464455,0,0,0,0.420129820241716,0.733101591695309,0.959391153878554,1,FALSE
